Category,Sub_Category,Category_description,Service_Description,Price
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Diseño y definición de cejas para enmarcar tu rostro perfectamente.,Maquillaje de Cejas,500.00 
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,"Maquillaje suave y delicado, ideal para niñas y ocasiones especiales.",Maquillaje Niñas Pequeñas (4-10),800.00 
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,"Maquillaje natural y juvenil, resaltando su belleza sin recargar.",Maquillaje Niñas Grandes 11-13 años,"1,500.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,"Corrección y acabado natural para un rostro limpio y fresco. Ideal para actividades, grabaciones o eventos",Maquillaje Caballeros,800.00 
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Delineado perfecto y cejas definidas en pocos minutos.,Maquillaje de Ojos Express (Delineado y Cejas),950.00 
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Ojos sutiles y elegantes para un look natural.,Maquillaje de Ojos Sencillo Sin Pestañas,"1,200.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Ojos intensos con pestañas para una mirada impactante.,Maquillaje de Ojos con Pestañas,"1,500.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,aquillaje correctivo rápido y bonito para verte arreglada al instante. Incluye delineado y pestañas. No incluye sombras.,Maquillaje Express,"1,500.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,"Look suave, natural y luminoso para cualquier ocasión. Incluye pestañas",Maquillaje Soft,"2,000.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje más marcado y sofisticado para un look de impacto. Ideal para bodas y eventos sociales. Pestañas incluidas,Maquillaje Glam,"2,500.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje impecable y duradero para tu gran día. Piel blindada a prueba de sudor y lagrimas.,Maquillaje de Novia,"4,000.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Prueba previa para definir el look perfecto para tu boda. Incluye asesoria y 2 estilos para que puedas elegir.,Prueba de Maquillaje de Novia,"5,000.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Look rápido y profesional realizado por la artista Paola Muñoz.,Maquillaje Express by Paola Munoz,"2,500.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje suave y elegante realizado por la artista Paola Muñoz.,Maquillaje Soft by Paola Munoz,"3,000.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Glam intenso y sofisticado realizado por la artista Paola Muñoz.,Maquillaje Glam by Paola Munoz,"3,500.00 "
